text,size,topic
said,94,1
princess,80,1
see,79,1
now,75,1
even,68,1
one,65,1
time,64,1
will,63,1
know,61,1
thought,58,1
still,54,1
say,53,1
might,48,1
howev,47,1
present,44,1
made,44,1
long,43,1
come,43,1
much,42,1
pass,40,1
mansion,39,1
love,38,1
return,37,1
day,36,1
also,36,1
princ,35,1
last,35,1
came,35,1
seem,35,1
yet,35,1
heard,34,1
ladi,34,1
think,34,1
priest,32,1
like,32,1
felt,32,1
girl,31,1
littl,31,1
offer,29,1
speak,29,1
night,28,1
visit,28,1
mountain,28,1
feel,28,1
repli,28,1
well,28,1
care,27,1
left,26,1
room,25,1
often,25,1
beauti,25,1
saw,25,1
perhap,25,1
rose,25,1
back,24,1
follow,24,1
emperor,24,1
becam,24,1
live,24,1
mother,23,1
soon,23,1
year,23,1
way,23,1
good,23,1
father,23,1
noth,23,1
daughter,23,1
desir,23,1
convers,23,1
ask,23,1
better,23,1
posit,22,1
realli,22,1
miobu,22,1
can,21,1
led,21,1
child,21,1
seen,21,1
look,21,1
light,21,1
circumst,21,1
thu,20,1
hand,20,1
place,20,1
upon,20,1
away,20,1
sent,20,1
rich,20,1
toward,19,1
world,19,1
wish,19,1
mind,19,1
shall,19,1
death,19,1
dream,19,1
birth,19,1
appear,19,1
may,19,1
dead,19,1
sound,19,1
