text,size,topic
seem,1,12
thought,1,12
one,1,12
even,1,12
come,1,12
might,1,12
must,1,12
said,1,12
father,1,12
now,1,12
ladi,1,12
go,1,12
see,1,12
know,1,12
came,1,12
long,1,12
much,1,12
time,1,12
though,1,12
princess,1,12
women,1,12
look,1,12
made,1,12
world,1,12
away,1,12
live,1,12
littl,1,12
will,1,12
think,1,12
like,1,12
man,1,12
day,1,12
make,1,12
peopl,1,12
still,1,12
year,1,12
can,1,12
thing,1,12
leav,1,12
inde,1,12
rather,1,12
emperor,1,12
ask,1,12
new,1,12
say,1,12
girl,1,12
quit,1,12
let,1,12
well,1,12
princ,1,12
hous,1,12
take,1,12
left,1,12
feel,1,12
sure,1,12
found,1,12
night,1,12
upon,1,12
went,1,12
want,1,12
cours,1,12
young,1,12
may,1,12
someth,1,12
life,1,12
yet,1,12
back,1,12
autumn,1,12
talk,1,12
visit,1,12
t,1,12
noth,1,12
alway,1,12
way,1,12
told,1,12
sister,1,12
tri,1,12
matter,1,12
brought,1,12
daughter,1,12
perhap,1,12
place,1,12
sad,1,12
tear,1,12
sort,1,12
great,1,12
put,1,12
good,1,12
mother,1,12
fear,1,12
face,1,12
last,1,12
present,1,12
answer,1,12
shall,1,12
end,1,12
took,1,12
almost,1,12
just,1,12
never,1,12
