text,size,topic
daughter,1075,2
emin,831,2
mother,680,2
servic,633,2
majesti,458,2
might,426,2
cloister,424,2
thunder,391,2
even,382,2
ship,366,2
idea,362,2
live,358,2
make,357,2
now,346,2
good,339,2
matsura,324,2
one,323,2
law,320,2
coast,317,2
citi,315,2
success,314,2
high,313,2
priestess,312,2
excel,303,2
surround,301,2
speed,301,2
fall,301,2
rate,300,2
ensur,299,2
support,297,2
devot,290,2
care,282,2
secur,278,2
older,277,2
ladi,269,2
palac,268,2
bungo,266,2
treat,255,2
consort,255,2
health,252,2
plan,250,2
sad,247,2
often,240,2
serious,239,2
noth,235,2
drop,231,2
join,231,2
inde,230,2
well,227,2
age,226,2
brought,226,2
sang,224,2
great,223,2
mark,220,2
terribl,218,2
frank,218,2
boom,218,2
yawata,218,2
pirat,218,2
kawajiri,218,2
aton,218,2
death,216,2
tangl,214,2
doubt,214,2
2,214,2
ignor,214,2
poor,212,2
prepar,211,2
someon,210,2
decid,209,2
invis,207,2
war,205,2
moreov,204,2
nijo,200,2
sinc,200,2
regret,199,2
kept,199,2
rank,198,2
reach,198,2
staff,197,2
relat,196,2
still,196,2
earn,195,2
let,193,2
go,193,2
complet,193,2
young,192,2
attent,191,2
day,190,2
end,190,2
15,189,2
groom,188,2
subject,187,2
enter,187,2
farewel,186,2
cours,183,2
miss,183,2
howev,175,2
bitter,174,2
thought,172,2
